rank,country,pop,imfGDP,unGDP,gdpPerCapita
1,United States,329064.917,21410.23,18624.475,65063.84878
2,China,1433783.686,15543.71,11218.28103,10841.04259
3,Japan,126860.301,5362.22,4936.211828,42268.69996
4,Germany,83517.045,4416.8,3477.796274,52885.01287
5,India,1366417.754,3155.23,2259.642383,2309.125442
6,France,65129.728,3060.07,2465.453975,46984.22815
7,United Kingdom,67530.172,3022.58,2647.898655,44758.95604
8,Italy,60550.075,2261.46,1858.913164,37348.59123
9,Brazil,211049.527,2256.85,1795.925681,10693.46154
10,Canada,37411.047,1908.53,1529.760492,51015.14534
11,South Korea,51225.308,1777.65,1411.24559,34702.57319
12,Russia,145872.256,1754.29,1246.015057,12026.20737
13,Spain,46736.776,1583.87,1237.25502,33889.15829
14,Australia,25203.198,1581.89,1304.463105,62765.44746
15,Mexico,127575.529,1285.08,1076.914464,10073.09168
16,Indonesia,270625.568,1152.89,932.2591776,4260.092675
17,Netherlands,17097.13,994.771,777.2275416,58183.50799
18,Turkey,83429.615,961.655,863.7117105,11526.54246
19,Switzerland,8591.365,779.327,668.8512962,90710.49827
20,Saudi Arabia,34268.528,759.219,639.6170509,22154.99306
21,Argentina,44780.677,659.694,545.8661645,14731.66652
22,Poland,37887.768,649.974,471.4022666,17155.24652
23,Sweden,10036.379,628.802,514.475857,62652.27728
24,Taiwan,23773.876,620.6,0,26104.28354
25,Belgium,11539.328,587.699,467.9552674,50930.08882
26,Thailand,69625.582,520.074,407.0263195,7469.582086
27,Austria,8955.102,503.538,390.7999911,56229.17528
28,Nigeria,200963.599,475.566,404.6491254,2366.428559
29,Norway,5378.857,460.177,371.0689332,85552.93439
30,United Arab Emirates,9770.529,427.83,348.7436276,43787.8031
31,Iran,82913.906,413.114,425.402616,4982.445285
32,Ireland,4882.495,409.225,304.8190198,83814.72997
33,Malaysia,31949.777,402.605,296.5314695,12601.18341
34,Israel,8519.377,390.656,317.7475798,45854.9962
35,Hong Kong,7436.154,387.983,320.9122355,52175.22391
36,South Africa,58558.27,386.853,295.4400098,6606.291477
37,Denmark,5771.876,386.403,306.8996534,66945.82489
38,Singapore,5804.337,367.783,296.9462784,63363.48148
39,Philippines,108116.615,355.744,304.9056389,3290.373085
40,Colombia,50339.443,347.027,282.4625514,6893.739369
41,Bangladesh,163046.161,312.794,220.8367329,1918.4383
42,Finland,5532.156,304.133,238.5029003,54975.49238
43,Chile,18952.038,295.844,247.0457305,15610.14177
44,Czech Republic,10689.209,276.961,195.3050849,25910.3363
45,Romania,19364.557,265.265,186.6909767,13698.48017
46,Vietnam,96462.106,264.939,205.2761713,2746.560395
47,Portugal,10226.187,260.353,204.8365979,25459.44055
48,Peru,32510.453,246.714,192.2095296,7588.759222
49,Greece,10473.455,235.836,192.6908131,22517.49781
50,New Zealand,4783.063,235.328,187.5170986,49200.27188
51,Iraq,39309.783,233.402,160.0210015,5937.504158
52,Algeria,43053.054,208.773,159.0491452,4849.203032
53,Qatar,2832.067,193.906,152.4519231,68468.01294
54,Kazakhstan,18551.427,190.469,135.005204,10267.0808
55,Hungary,9684.679,172.827,125.8166404,17845.40303
56,Kuwait,4207.083,140.146,110.3461292,33311.91707
57,Morocco,36471.769,129.033,103.6065749,3537.887071
58,Ukraine,43993.638,126.721,93.27035485,2880.439213
59,Angola,31825.295,121.138,106.9175358,3806.34335
60,Slovakia,5457.013,119.875,89.76859802,21967.14576
61,Ecuador,17373.662,109.866,98.01021262,6323.709993
62,Sri Lanka,21323.733,99.651,81.32197097,4673.243658
63,Puerto Rico,2933.408,96.98,105.0345,33060.5221
64,Kenya,52573.973,95.803,70.52597905,1822.251478
65,Venezuela,28515.829,92.417,291.3764373,3240.901746
66,Ethiopia,112078.73,89.727,70.31456087,800.5711699
67,Guatemala,17581.472,87.819,68.76292057,4994.974255
68,Oman,4974.986,85.636,63.1709594,17213.31477
69,Dominican Republic,10738.958,84.585,71.58358517,7876.462502
70,Luxembourg,615.729,77.436,58.63132456,125763.1198
71,Myanmar,54045.42,74.974,65.69761607,1387.240584
72,Panama,4246.439,72.371,55.1878,17042.75041
73,Bulgaria,7000.119,68.49,53.23964349,9784.119384
74,Uruguay,3461.734,66.749,52.41971846,19281.95523
75,Costa Rica,5047.561,64.85,57.43551067,12847.78926
76,Croatia,4130.304,63.81,51.23100261,15449.22601
77,Tanzania,58005.463,61.66,0,1063.003324
78,Belarus,9452.411,61.522,47.40811118,6508.603995
79,Slovenia,2078.654,60.638,44.70859865,29171.76211
80,Lithuania,2759.627,58.215,42.77302984,21095.24222
81,Macau,640.445,57.573,45.31108052,89895.30717
82,Ghana,30417.856,56.725,42.79386947,1864.858588
83,Lebanon,6855.713,56.379,50.45765327,8223.652303
84,Ivory Coast,25716.544,52.979,36.76779021,2060.113521
85,Serbia,8772.235,51.304,38.2998719,5848.452532
86,Azerbaijan,10047.718,47.926,37.84720407,4769.839281
87,Uzbekistan,32981.716,47.892,67.77890244,1452.077266
88,Libya,6777.452,46.923,42.95953459,6923.398351
89,Turkmenistan,5942.089,46.401,36.17988571,7808.869911
90,Jordan,10101.694,44.794,38.65464789,4434.305771
91,Bolivia,11513.1,43.804,33.80639547,3804.709418
92,DR Congo,86790.567,43.663,40.33749261,503.0846267
93,Tunisia,11694.719,41.956,41.7035614,3587.602233
94,Cameroon,25876.38,41.748,32.21707382,1613.363229
95,Bahrain,1641.172,39.703,32.1790736,24191.85801
96,Latvia,1906.743,38.621,27.57269848,20254.95832
97,Paraguay,7044.636,34.615,27.16510191,4913.667647
98,Estonia,1325.648,33.267,23.33792056,25094.89699
99,Iceland,339.031,31.646,20.26965997,93342.4967
100,El Salvador,6453.553,30.709,26.79746966,4758.464058
101,Uganda,44269.594,29.69,25.30784247,670.6634807
102,Nepal,28608.71,28.75,20.91400496,1004.938706
103,Papua New Guinea,8776.109,27.411,19.69411573,3123.365947
104,Zambia,17861.03,27.217,21.06306398,1523.820295
105,Cambodia,16486.542,26.628,20.01674786,1615.135545
106,Cyprus,1198.575,26.359,20.04623431,21991.94877
107,Honduras,9746.117,24.823,21.51691535,2546.963062
108,Afghanistan,38041.754,22.925,20.23506333,602.6273131
109,Trinidad and Tobago,1394.973,22.533,24.08617656,16153.00081
110,Senegal,16296.364,21.722,14.60452053,1332.935371
111,Bosnia and Herzegovina,3301,21.502,16.90990415,6513.783702
112,Zimbabwe,14645.468,21.067,16.12376365,1438.465469
113,Laos,7169.455,20.059,15.80570709,2797.841677
114,Botswana,2303.697,19.268,15.56605729,8363.947168
115,Mali,19658.031,19.247,14.00169675,979.0909374
116,Gabon,2172.579,18.096,13.86318353,8329.271341
117,Yemen,29161.922,17.452,25.37408644,598.4516384
118,Georgia,3996.765,17.433,14.33272871,4361.777588
119,Albania,2880.917,16.146,11.86386679,5604.465523
120,Malta,440.372,16.046,10.99857704,36437.37567
121,Burkina Faso,20321.378,15.867,11.69511711,780.8033491
122,Jamaica,2948.279,15.845,14.05690108,5374.321765
123,Nicaragua,6545.502,15.499,13.23021488,2367.885611
124,Mozambique,30366.036,15.017,10.93013157,494.5327734
125,Brunei,433.285,14.791,11.40026688,34136.8845
126,Mauritius,1269.668,14.217,12.21623502,11197.41539
127,Namibia,2494.53,14.071,10.94727725,5640.741943
128,Macedonia,2083.459,13.904,10.74578259,6673.517453
129,Mongolia,3225.167,13.786,11.16035669,4274.507336
130,Madagascar,26969.307,13.559,11.22226385,502.7567078
131,Bahamas,389.482,12.899,11.2618,33118.34693
132,Armenia,2957.731,12.696,10.57229943,4292.479607
133,Chad,15946.876,12.24,11.26729577,767.5484528
134,Benin,11801.151,12.2,8.893638002,1033.797466
135,Guinea,12771.246,11.698,8.476136811,915.963877
136,Equatorial Guinea,1355.986,11.386,10.67794057,8396.841855
137,Republic of the Congo,5380.508,10.923,7.778081883,2030.105707
138,Niger,23310.715,10.717,7.528285819,459.7456577
139,Rwanda,12626.95,10.532,8.473784827,834.0889922
140,Moldova,4043.263,9.903,6.772647958,2449.259422
141,Haiti,11263.077,9.751,7.647347306,865.7492087
142,Somalia,15442.905,8.21,1.318057519,531.6357253
143,Tajikistan,9321.018,8.176,6.951679338,877.1574092
144,Kyrgyzstan,6415.85,8.029,6.55129114,1251.432
145,Eritrea,3497.117,7.717,5.413804303,2206.674812
146,Malawi,18628.747,7.024,5.318197658,377.0516611
147,Togo,8082.366,6.078,4.449262345,752.0075186
148,Montenegro,627.987,5.862,4.373958354,9334.588136
149,Fiji,889.953,5.794,4.671118364,6510.45617
150,Mauritania,4525.696,5.54,4.66711932,1224.121108
151,Barbados,287.025,5.516,4.552793288,19217.83817
152,Maldives,530.953,5.169,4.224207488,9735.324972
153,Swaziland,1148.13,4.644,4.007002048,4044.838128
154,Burundi,11530.58,4.526,2.873699606,392.5214517
155,Suriname,581.372,4.226,3.278445033,7269.011924
156,Sierra Leone,7813.215,3.976,3.674756785,508.8814272
157,Guyana,782.766,3.911,3.436626633,4996.384616
158,Liberia,4937.374,3.534,2.756817825,715.765101
159,Lesotho,2125.268,3.062,2.241017076,1440.759471
160,Timor-Leste,1293.119,3.029,2.703285752,2342.398495
161,South Sudan,11062.113,2.807,6.534451826,253.7489899
162,Bhutan,763.092,2.8,2.212642587,3669.282341
163,Djibouti,973.56,2.38,1.891520369,2444.636181
164,Central African Republic,4745.185,2.334,1.81038874,491.8670189
165,Cape Verde,549.935,2.099,1.638928099,3816.814714
166,Belize,390.353,1.987,1.7411,5090.264453
167,San Marino,33.86,1.864,1.590761265,55050.20673
168,Saint Lucia,182.79,1.825,1.397066906,9984.134799
169,Guinea-Bissau,1920.922,1.728,1.122643236,899.5680199
170,Antigua and Barbuda,97.118,1.693,1.460157909,17432.40182
171,Seychelles,97.739,1.659,1.433826317,16973.7771
172,Solomon Islands,669.823,1.463,1.133967215,2184.159099
173,Grenada,112.003,1.249,1.016208148,11151.48701
174,Gambia,2347.706,1.159,0.985831536,493.6733986
175,Saint Kitts and Nevis,52.823,1.024,0.90985462,19385.49495
176,Vanuatu,299.882,1.024,0.83751979,3414.676439
177,Samoa,197.097,0.92,0.822233281,4667.752426
178,Saint Vincent and the Grenadines,110.589,0.871,0.765318745,7876.009368
179,Comoros,850.886,0.781,1.149802573,917.8667883
180,Dominica,71.808,0.542,0.581484032,7547.905526
181,Sao Tome and Principe,215.056,0.489,0.342781695,2273.826352
182,Tonga,104.494,0.454,0.401460313,4344.747067
183,Micronesia,113.815,0.342,0.329895643,3004.876334
184,Palau,18.008,0.341,0.310248,18936.02843
185,Kiribati,117.606,0.22,0.173655146,1870.652858
186,Marshall Islands,58.791,0.211,0.183,3588.984709
187,Nauru,10.756,0.114,0.103469824,10598.73559
188,Tuvalu,11.646,0.045,0.036697185,3863.987635
189,Andorra,77.142,0,2.858406626,37053.83094
190,Anguilla,14.869,0,0.33752047,22699.60791
191,Aruba,106.314,0,2.667039106,25086.43364
192,Bermuda,62.506,0,6.127341,98028.04531
193,British Virgin Islands,30.03,0,0.97123711,32342.22811
194,Cayman Islands,64.948,0,3.844080626,59187.05158
195,Cook Islands,17.548,0,0.290194195,16537.16634
196,Cuba,11333.483,0,89.6887,7913.604317
197,Cura̤ao,163.424,0,3.121449966,19100.31554
198,North Korea,25666.161,0,16.78860183,654.1142569
199,Egypt,100388.073,0,270.1438134,2690.995109
200,French Polynesia,279.287,0,5.417934152,19399.16341
201,Greenland,56.672,0,2.282927882,40283.17127
202,Liechtenstein,38.019,0,6.193677543,162910.0593
203,Monaco,38.964,0,6.468000877,165999.4066
204,Montserrat,4.989,0,0.062051375,12437.6378
205,New Caledonia,282.75,0,9.445714851,33406.59541
206,Pakistan,216565.318,0,282.5060079,1304.484072
207,Sint Maarten,42.388,0,1.072067039,25291.75802
208,Palestine,4981.42,0,13.3971,2689.413862
209,Sudan,42813.238,0,82.8873959,1936.022589
210,Syria,17070.135,0,22.16307512,1298.353828
211,Turks and Caicos Islands,38.191,0,0.917550492,24025.3068
